,Graph Mod Id,Graph Score,G1 Graph Score,Sum Graph Score
0,Original Graph,751,2111,2862
213,"MBF-to-Cln3 -> 0to1 | Clb5,6-to-Mcm1,SFF -> 1to0",12959,0,12959
214,"MBF-to-Cln3 -> 0to1 | Clb5,6-to-Mcm1,SFF -> 1to-1",12237,0,12237
215,"MBF-to-Cln3 -> 0to1 | Sic1-to-Mcm1,SFF -> 0to1",12891,0,12891
216,"MBF-to-Cln3 -> 0to1 | Sic1-to-Mcm1,SFF -> 0to-1",12632,0,12632
217,"MBF-to-Cln3 -> 0to1 | Clb1,2-to-Mcm1,SFF -> 1to0",12658,0,12658
218,"MBF-to-Cln3 -> 0to1 | Clb1,2-to-Mcm1,SFF -> 1to-1",11888,0,11888
219,MBF-to-Cln3 -> 0to-1 | SBF-to-Cln3 -> 0to1,11236,0,11236
220,MBF-to-Cln3 -> 0to-1 | SBF-to-Cln3 -> 0to-1,751,2111,2862
221,"MBF-to-Cln3 -> 0to-1 | Cln1,2-to-Cln3 -> 0to1",112245,0,112245
222,"MBF-to-Cln3 -> 0to-1 | Cln1,2-to-Cln3 -> 0to-1",635,2111,2746
223,MBF-to-Cln3 -> 0to-1 | Cdh1-to-Cln3 -> 0to1,186608,0,186608
224,MBF-to-Cln3 -> 0to-1 | Cdh1-to-Cln3 -> 0to-1,1040,0,1040
225,MBF-to-Cln3 -> 0to-1 | Swi5-to-Cln3 -> 0to1,182246,0,182246
226,MBF-to-Cln3 -> 0to-1 | Swi5-to-Cln3 -> 0to-1,623,2111,2734
227,MBF-to-Cln3 -> 0to-1 | Cdc2014-to-Cln3 -> 0to1,181896,0,181896
228,MBF-to-Cln3 -> 0to-1 | Cdc2014-to-Cln3 -> 0to-1,675,2111,2786
229,"MBF-to-Cln3 -> 0to-1 | Clb5,6-to-Cln3 -> 0to1",122883,0,122883
230,"MBF-to-Cln3 -> 0to-1 | Clb5,6-to-Cln3 -> 0to-1",737,2111,2848
231,MBF-to-Cln3 -> 0to-1 | Sic1-to-Cln3 -> 0to1,190102,0,190102
232,MBF-to-Cln3 -> 0to-1 | Sic1-to-Cln3 -> 0to-1,1062,0,1062
233,"MBF-to-Cln3 -> 0to-1 | Clb1,2-to-Cln3 -> 0to1",151146,0,151146
234,"MBF-to-Cln3 -> 0to-1 | Clb1,2-to-Cln3 -> 0to-1",751,2111,2862
235,"MBF-to-Cln3 -> 0to-1 | Mcm1,SFF-to-Cln3 -> 0to1",168252,0,168252
